X,Y,OBJECTID,KODAS,GATVE,NR,RAIDE,NR2,GYV_ID,ADRESAS,MOKSSK,VARDAS,SENIUNIJA,TELEF,IMKODAS,TIPAST,KALBA,KALBA1,KALBA2,KALBA3,TALPA,LAUKIA,PASTABA,OBJ_ID,MOKSSK_1_4,KALBOS_ID,PRITNEIGAL
580689.447625,6064801.491375,5265,0,Šeškinės g.,15, ,22,2,Šeškinės g. 15,326,Vilniaus Šeškinės pradinė mokykla,Šeškinės pradinė mokykla,+370 5 246 8767,191713384,PRADINĖS MOKYKLOS,lietuvių,lietuvių, , ,276,276, ,94,11,1,2
582427.19975,6064719.700375,5283,0,Širvintų g.,82, ,17,17,Širvintų g. 82,544,Vilniaus licėjus,Vilniaus licėjus,+370 5 277 5836,291221220,GIMNAZIJOS,lietuvių anglų,lietuvių,anglų,,0,0,aptarnauja visą miesto teritoriją,112,70,5,1
582423.81075,6064652.595,5284,0,Širvintų g.,80, ,19,13,Širvintų g. 80,311,Vilniaus Senvagės gimnazija,Senvagės gimnazija,+370 5 277 0814,190002226,ISPL GIMNAZIJOS,lietuvių,lietuvių, , ,0,0,aptarnauja visą miesto teritoriją,113,15,1,3
584332.512375,6064995.43375,5285,0,Žirmūnų g.,37, ,17,17,Žirmūnų g. 37,771,Vilniaus Žirmūnų gimnazija,Žirmūnų gimnazija,+370 5 276 6400,190000360,GIMNAZIJOS,lietuvių,lietuvių, , ,0,0,aptarnauja visą miesto teritoriją,114,70,1,3
583629.3,6063561.000375,5286,0,Tuskulėnų g.,31, ,17,17,Tuskulėnų g. 31,996,Vilniaus Tuskulėnų gimnazija,Tuskulėnų vidurinė mokykla,+370 5 279 9450,190002030,ISPL GIMNAZIJOS,lietuvių,lietuvių, , ,916,384,aptarnauja visą miesto teritoriją,115,60,1,2
583365.50025,6063180.700125,5287,0,Tuskulėnų g.,30, ,22,2,Tuskulėnų g. 30,370,Vilniaus „Žiburio“ pradinė mokykla,„Žiburio“ pradinė mokykla,+370 5 275 8310,190022638,PRADINĖS MOKYKLOS,lietuvių,lietuvių, , ,298,298, ,116,11,1,3
583085.6,6063298.800125,5288,0,Kazliškių g.,4, ,13,13,Kazliškių g. 4,502,Vilniaus šv. Kristoforo gimnazija,šv. Kristoforo gimnazija,+370 5 273 5350,302420721,GIMNAZIJOS,lietuvių,lietuvių, , ,0,0, ,117,16,1,3
582850.0155,6064048.54225,5289,0,Kalvarijų g.,87, ,2,2,Kalvarijų g. 87,946,Vilniaus šv. Kristoforo progimnazija,šv. Kristoforo progimnazija,+370 5 275 2973,302420714,PROGIMNAZIJOS,lietuvių,lietuvių, , ,698,360, ,118,13,1,3
583224.271375,6063319.955625,5303,148,Tuskulėnų g.,42, ,21,2,Tuskulėnų g. 42,711,Vilniaus darželis - mokykla „Vaivorykštė“,„Vaivorykštė“ darželis - mokykla,+370 5 273 2255,190013393,DARŽELIAI - MOKYKLOS,rusų, , ,rusų,226,0, ,132,21,2,3
583755.669375,6064088.682,5305,369,Minties g.,3, ,17,17,Minties g. 3,585,Vilniaus Joachimo Lelevelio inžinerijos gimnazija,J. Lelevelio vidurinė mokykla,+370 5 276 7518,190000175,ISPL GIMNAZIJOS,rusų lenkų, ,lenkų,rusų,802,0,aptarnauja visą miesto teritoriją,134,51,4,1
584928.30025,6063802.70025,5311,0,Šilo g.,15, ,22,2,Šilo g. 15,0,Vilniaus Antakalnio pradinė mokykla,Vilniaus Antakalnio pradinė mokykla,,304865385,PRADINĖS MOKYKLOS,rusų lenkų,,lenkų,rusų,0,0,,581,21,4,3
584425.76075,6063465.851375,5312,0,Antakalnio g.,29, ,13,13,Antakalnio g. 29,517,Vilniaus Antakalnio gimnazija,Antakalnio gimnazija,+370 5 234 1802,302817872,GIMNAZIJOS,lietuvių,lietuvių, , ,0,0, ,141,16,1,3
584881.937875,6063833.313125,5313,0,Šilo g.,13, ,24,24,Šilo g. 13-1,150,Vilniaus tarptautinis prancūzų licėjus,Prancūzų vidurinė mokykla,+370 650 99169,111967520,VIDURINĖS MOKYKLOS,prancūzų,,,prancūzų,0,0, ,584,73,5,0
585017.631,6063750.998625,5322,181,Volungės g.,10, ,21,2,Volungės g. 10,419,Vilniaus Volungės darželis-mokykla,Volungės darželis - mokykla,+370 5 271 0582,191713046,DARŽELIAI - MOKYKLOS,lietuvių,lietuvių, , ,292,292, ,151,11,1,3
584812.03775,6063607.02275,5326,0,V. Grybo g.,7, ,24,24,V. Grybo g. 7,216,Viešoji įstaiga Vilniaus privati gimnazija,Vilniaus privati gimnazija,+370 5 271 1079,191784577,GIMNAZIJOS,lietuvių,lietuvių, , ,0,0, ,155,73,1,0
584448.767375,6063631.070875,5328,0,Antakalnio g.,33, ,2,2,Antakalnio g. 33,1010,Vilniaus Antakalnio progimnazija,Vilniaus Antakalnio progimnazija,+370 5 234 6011,302818006,PROGIMNAZIJOS,lietuvių,lietuvių, , ,802,480, ,157,13,1,3
578749.10025,6065091.5005,5335,371,Rygos g.,10, ,2,2,Rygos g. 10,1141,Vilniaus Jono Pauliaus II progimnazija,J. Pauliaus II progimnazija,+370 5 241 7765,195472315,PROGIMNAZIJOS,lenkų, ,lenkų, ,778,0, ,164,36,3,1
579695.1995,6065440.39975,5336,0,Čiobiškio g.,16, ,13,13,Čiobiškio g. 16,829,Vilniaus Žemynos gimnazija,Žemynos gimnazija,+370 5 240 0561,190008827,GIMNAZIJOS,lietuvių,lietuvių, , ,0,0, ,165,16,1,2
578758.142125,6066210.315,5337,0,Medeinos g.,27, ,22,2,Medeinos g. 27,308,Vilniaus Medeinos pradinė mokykla,Medeinos pradinė mokykla,+370 5 247 0676,190032746,PRADINĖS MOKYKLOS,lietuvių,lietuvių, , ,226,226, ,166,11,1,3
579242.4,6066922.10025,5338,0,Pašilaičių g.,13, ,13,13,Pašilaičių g. 13,500,Vilniaus Gabijos gimnazija,Gabijos gimnazija,,305607530,GIMNAZIJOS,lietuvių,lietuvių, , ,970,0, ,167,16,1,3
579373.10025,6066507.60025,5339,0,Žemynos g.,14, ,2,2,Žemynos g. 14,1149,Vilniaus Žemynos progimnazija,Žemynos progimnazija,+370 5 247 1766,295472120,PROGIMNAZIJOS,lietuvių,lietuvių, , ,724,384, ,168,13,1,2
578349.49975,6065897.200125,5340,0,Taikos g.,81, ,17,17,Taikos g. 81,782,Vilniaus Mykolo Biržiškos gimnazija,M. Biržiškos gimnazija,+370 5 242 1611,190003328,GIMNAZIJOS,lietuvių,lietuvių, , ,0,0,aptarnauja visą miesto teritoriją,169,70,1,2
579081.399625,6065686.300125,5341,0,Taikos g.,47, ,2,2,Taikos g. 47,514,Vilniaus „Sietuvos“ progimnazija,„Sietuvos“ progimnazija,+370 5 247 5280,190008784,PROGIMNAZIJOS,lietuvių,lietuvių, , ,760,253, ,170,13,1,1
578111.299875,6065683.5005,5342,342,Taikos g.,97, ,22,2,Taikos g. 97,321,Vilniaus „Pelėdos“ pradinė mokykla,„Pelėdos“ pradinė mokykla,+370 5 242 7001,190016165,PRADINĖS MOKYKLOS,lietuvių,lietuvių, , ,266,266, ,171,11,1,3
578701.10025,6066728.700375,5343,378,Gabijos g.,8, ,17,17,Gabijos g. 8,859,Vilniaus Aleksandro Puškino gimnazija,A. Puškino gimnazija,+370 5 247 3516,190003470,ISPL GIMNAZIJOS,rusų, , ,rusų,712,0,aptarnauja visą miesto teritoriją,172,52,2,2
578764.191625,6066474.921625,5344,142,Medeinos g.,5, ,21,2,Medeinos g. 5,378,Vilniaus „Aušros“ mokykla-darželis,„Aušros“ darželis - mokykla,+370 5 247 0411,190032365,DARŽELIAI - MOKYKLOS,lietuvių,lietuvių, , ,96,96, ,173,11,1,3
579258.10425,6065432.648375,5357,166,Taikos g.,15, ,21,2,Taikos g. 15,818,Vilniaus darželis-mokykla „Vilija“,„Vilija“ darželis - mokykla,+370 5 242 6441,190022976,DARŽELIAI - MOKYKLOS,lenkų, ,lenkų, ,204,0, ,186,31,3,3
582012.899625,6066696.10025,5372,0,Didlaukio g.,23, ,2,2,Didlaukio g. 23,854,Vilniaus Baltupių progimnazija,Baltupių progimnazija,+370 5 277 8345,190000894,PROGIMNAZIJOS,lietuvių,lietuvių, , ,756,432, ,201,13,1,2
581218.799875,6065364.699625,5373,0,Gelvonų g.,55, ,13,13,Gelvonų g. 55,484,Vilniaus Radvilų gimnazija,Radvilų gimnazija,+370 5 240 5196,190003285,GIMNAZIJOS,lietuvių,lietuvių, , ,0,0, ,202,16,1,3
579876.100375,6066841.500125,5374,0,P. Žadeikos g.,2, ,17,17,P. Žadeikos g. 2,617,Vilniaus Fabijoniškių gimnazija,Fabijoniškių gimnazija,+370 5 248 3048,190003851,ISPL GIMNAZIJOS,lietuvių,lietuvių, , ,876,300, ,203,62,1,1
580251.49975,6065928.10025,5375,0,Fabijoniškių g.,23, ,22,2,Fabijoniškių g. 23,366,Vilniaus „Šviesos“ pradinė mokykla,„Šviesos“ pradinė mokykla,+370 5 272 4272,191665480,PRADINĖS MOKYKLOS,lietuvių,lietuvių, , ,292,292, ,204,11,1,3
580619.6995,6066603.900375,5376,380,S. Stanevičiaus g.,98, ,12,2,S. Stanevičiaus g. 98,704,Vilniaus „Ateities“ mokykla,„Ateities“ mokykla,+370 5 247 8447,190003666,PAGRINDINĖS MOKYKLOS,rusų, , ,rusų,870,0, ,205,25,2,3
580952.100125,6066014.299625,5377,381,S. Stanevičiaus g.,25, ,2,2,S. Stanevičiaus g. 25,703,Vilniaus Simono Stanevičiaus progimnazija,S. Stanevičiaus progimnazija,+370 5 270 2062,290008970,PROGIMNAZIJOS,lietuvių,lietuvių, , ,872,294, ,206,13,1,3
580374.299875,6067194.40025,5378,0,L. Giros g.,44, ,24,24,L. Giros g. 44,49,"VšĮ I. Lauciuvienės darželis-mokykla ""Dūzginėlio bitutės""",Dūzginėlio bitutės darželis - mokykla,+370 524 83750,195474138,DARŽELIAI - MOKYKLOS,lietuvių,lietuvių, , ,0,0, ,207,0,1,0
584031.0565,6066480.624875,5395,0,Žirmūnų g.,119, ,2,2,Žirmūnų g. 119,864,Vilniaus Emilijos Pliaterytės progimnazija,E. Pliaterytės progimnazija,+370 5 277 0792,195472653,PROGIMNAZIJOS,lietuvių,lietuvių, , ,890,330, ,224,13,1,3
584231.500125,6065146.4995,5396,0,Žirmūnų g.,53, ,22,2,Žirmūnų g. 53,389,Vilniaus Prano Mašioto pradinė mokykla,P. Mašioto pradinė mokykla,+370 5 277 2736,195008076,PRADINĖS MOKYKLOS,lietuvių,lietuvių, , ,284,284, ,225,11,1,3
583441.189,6064552.489,5397,0,Žirmūnų g.,139,A,24,24,Žygio g. 97,17,"VšĮ ""Mokykla vaikams""",Žiniukas pradinė mokykla,+370 5-273 7261,300513956,PROGIMNAZIJOS,lietuvių,lietuvių, , ,0,0, ,226,73,1,0
583268.979375,6066065.109125,5403,373,Verkių g.,62, ,26,26,Verkių g. 62,260,Vilniaus Verkių mokykla-daugiafunkcis centras,Verkių spec. mokykla-daugiafunkcinis centras,+370 5 277 2844,190981237,SPEC. MOKYKLOS - DAUGIAFUNKCINIAI CENTRAI,lenkų lietuvių rusų,lietuvių, ,,0,0,Specialioji mokykla,232,80,5,2
585317.899625,6066812.29975,5415,681,Lakštingalų g.,8, ,26,26,Lakštingalų g. 8,234,Vilniaus Šilo ugdymo centras,Šilo ugdymo centras,,191722433,SPEC. PAGRINDINĖS MOKYKLOS,lietuvių rusų,lietuvių, ,rusų,0,0,Specialioji mokykla,244,80,5,2
584762.172875,6065317.94325,5416,0,Antakalnio g.,120, ,17,17,Antakalnio g. 120,1277,Vilniaus Gedimino technikos universiteto inžinerijos licėjus,VGTUI licėjus,+370 5 234 2084,190001843,ISPL GIMNAZIJOS,lietuvių,lietuvių, , ,1010,513,aptarnauja visą miesto teritoriją,245,60,1,3
585321.260875,6066501.612875,5422,0,Nemenčinės pl.,16, ,22,2,Nemenčinės pl. 16,0,"Vilniaus Gedimino technikos universiteto inžinerijos licėjus, skyrius",VGTUI licėjus (skyrius),,190001843,PRADINĖS MOKYKLOS,lietuvių,lietuvių, , ,0,0,skyrius,251,61,1,3
581875.5355,6059214.587,5438,162,Šaltkalvių g.,13, ,21,2,Šaltkalvių g. 13,418,Vilniaus darželis-mokykla „Šaltinėlis“,„Šaltinėlis“ darželis - mokykla,+370 5 216 6071,190021689,DARŽELIAI - MOKYKLOS,lenkų, ,lenkų,,102,0, ,267,31,3,3
580683.915,6059994.667375,5439,0,Skroblų g.,3,A,2,2,Skroblų g. 3A,615,Vilniaus Gerosios Vilties progimnazija,Gerosios Vilties progimnazija,+370 5 233 6449,190004615,PROGIMNAZIJOS,lietuvių,lietuvių, , ,964,299, ,268,13,1,3
581773.0375,6058919.645375,5440,311,Šaltkalvių g.,32, ,2,2,Šaltkalvių g. 32,524,Vilniaus Naujininkų progimnazija,Vilniaus Naujininkų progimnazija,+370 5 216 6366,190007344,PROGIMNAZIJOS,lietuvių,lietuvių, , ,838,228, ,269,13,1,2
583713.5005,6059834.4995,5445,332,Liepkalnio g.,18, ,12,2,Liepkalnio g. 18,324,Vilniaus Liepkalnio mokykla,Liepkalnio mokykla,+370 5 262 6612,190007159,PAGRINDINĖS MOKYKLOS,rusų lenkų,,lenkų,rusų,384,0, ,274,43,4,3
582346.1,6058859.30025,5446,383,Kaminkelio g.,10, ,12,2,Kaminkelio g. 10,513,Vilniaus „Saulėtekio“ mokykla-daugiafunkcis centras,„Saulėtekio“ mokykla-daugiaf.centras,+370 5 269 5355,190007497,PAGRINDINĖS MOKYKLOS,rusų, , ,rusų,720,0, ,275,25,2,1
582326.86675,6059166.38825,5455,0,Telšių g.,2, ,13,13,Telšių g. 2,300,Vilniaus „Juventos“ gimnazija,„Juventos“ gimnazija,+370 5 269 5589,190008599,GIMNAZIJOS,rusų,,,rusų,0,0, ,284,24,2,3
578242.1685,6060513.421375,5465,188,Žėručio g.,4, ,12,2,Žėručio g. 4,639,Vilniaus Lazdynų mokykla,Lazdynų mokykla,+370 5 244 5158,190005489,PAGRINDINĖS MOKYKLOS,rusų lenkų,,lenkų,rusų,820,0, ,294,43,4,3
577975.500125,6060459.399625,5466,0,Žėručio g.,15, ,22,2,Žėručio g. 15,386,Vilniaus Žėručio pradinė mokykla,Žėručio pradinė mokykla,+370 5 244 5413,195007921,PRADINĖS MOKYKLOS,lietuvių,lietuvių, , ,330,330, ,295,11,1,3
577632.2,6060701.3995,5467,0,Erfurto g.,23, ,13,13,Erfurto g. 23,360,Vilniaus „Minties“ gimnazija,„Minties“ gimnazija,+370 5 245 6690,190005717,GIMNAZIJOS,lietuvių,lietuvių, , ,0,0, ,296,16,1,3
578381.400375,6061515.2,5468,374,Architektų g.,166, ,2,2,Architektų g. 166,435,Vilniaus Sausio 13-osios progimnazija,Sausio 13-osios progimnazija,+370 5 244 3529,190005293,PROGIMNAZIJOS,lietuvių,lietuvių, , ,802,180, ,297,13,1,3
578445.6,6062274.800125,5469,0,Sausio 13-osios g.,17, ,13,13,Sausio 13-osios g. 17,656,Vilniaus Karoliniškių gimnazija,Karoliniškių gimnazija,+370 5 245 2443,190008631,GIMNAZIJOS,lietuvių,lietuvių, , ,0,0, ,298,16,1,2
577805.3,6060170.599875,5470,0,Architektų g.,68, ,2,2,Architektų g. 68,1001,Vilniaus „Ąžuolyno“ progimnazija,„Ąžuolyno“ progimnazija,+370 5 245 9885,190006395,PROGIMNAZIJOS,lietuvių,lietuvių, , ,734,360, ,299,13,1,3
578137.994625,6061249.569,5479,0,Architektų g.,85, ,23,23,Architektų g. 85,567,Palaimintojo Teofiliaus Matulionio gimnazija,Versmė gimnazija,+370 5 244 9463,302509732,GIMNAZIJOS,lietuvių,lietuvių, , ,0,0, ,308,73,1,0
578656.69375,6061053.139625,5481,146,Architektų g.,210, ,21,2,Architektų g. 210,476,Vilniaus darželis-mokykla „Svaja“,„Svaja“ darželis - mokykla,+370 5 244 3730,190026654,DARŽELIAI - MOKYKLOS,rusų, , ,rusų,188,0, ,310,21,2,3
577839.470875,6062545.83375,5482,333,Sietyno g.,21, ,17,17,Sietyno g. 21,229,Vilniaus Pranciškaus Skorinos gimnazija,P. Skorinos gimnazija,+370 5 245 7928,191722390,ISPL GIMNAZIJOS,baltarusių,,,baltarusių,0,0,aptarnauja visą miesto teritoriją (baltarusių kalba),311,74,5,3
577736.846625,6062355.04725,5483,338,R. Jankausko g.,17, ,2,2,R. Jankausko g. 17,526,Vilniaus „Spindulio“ progimnazija,„Spindulio“ progimnazija,+370 5 244 4781,190006242,PROGIMNAZIJOS,lietuvių,lietuvių, , ,674,240, ,312,13,1,2
577823.877,6062367.28975,5484,0,R. Jankausko g.,17, ,24,24,R. Jankausko g. 17,222,"VšĮ ""Saulės"" privati gimnazija",Saulės gimnazija,+370 5 240 1546,191672717,GIMNAZIJOS,lietuvių,lietuvių, , ,0,0,Reg.: Justiniškių g. 84,313,73,1,0
577431.900375,6061806.50025,5488,0,V. Druskio g.,11, ,13,13,V. Druskio g. 11,391,Vilniaus šv. Jono Pauliaus II gimnazija,šv. Jono Pauliaus II gimnazija,+370 5 244 4504,191715588,GIMNAZIJOS,lenkų, ,lenkų, ,0,0, ,317,34,3,2
581711.70025,6060875.5,5520,0,T. Ševčenkos g.,17, ,12,2,T. Ševčenkos g. 17,410,Vilniaus Naujamiesčio mokykla,Naujamiesčio mokykla,+370 5 233 2349,290004420,PAGRINDINĖS MOKYKLOS,rusų, , ,rusų,552,0, ,349,25,2,2
581572.49975,6062286.099875,5521,160,Ankštoji g.,11, ,21,2,Ankštoji g. 11,305,Vilniaus darželis-mokykla „Dainorėliai“,„Dainorėliai“ darželis - mokykla,+370 5 249 7572,190012291,DARŽELIAI - MOKYKLOS,lietuvių,lietuvių, , ,118,118, ,350,11,1,3
580280.7995,6060580.999625,5523,0,S. Konarskio g.,34, ,13,13,S. Konarskio g. 34,496,Vilniaus Jono Basanavičiaus gimnazija,J. Basanavičiaus gimnazija,+370 5 233 0452,302522904,GIMNAZIJOS,lietuvių,lietuvių, , ,0,0, ,352,16,1,3
581463.990625,6062068.402125,5524,0,J. Jasinskio g.,11, ,13,13,J. Jasinskio g. 11,724,Vilniaus Simono Daukanto gimnazija,S. Daukanto gimnazija,+370 5 249 6517,301806652,GIMNAZIJOS,lietuvių,lietuvių, , ,0,0, ,353,16,1,3
580958.300375,6061071.79975,5525,0,S. Konarskio g.,27, ,2,2,S. Konarskio g. 27,968,Vilniaus Jono Basanavičiaus progimnazija,J. Basanavičiaus progimnazija,+370 684 52176,302523034,PROGIMNAZIJOS,lietuvių,lietuvių, , ,866,504, ,354,13,1,2
580260.869,6060474.32075,5546,0,Geležinio Vilko g.,23, ,24,24,Geležinio Vilko g. 23,264,"Viešoji įstaiga ""Vilniaus Valdorfo mokykla""",Valdorfo vidurinė mokykla,+370 5 213 7041,300542858,GIMNAZIJOS,lietuvių,lietuvių, , ,0,0, ,375,73,1,0
